honeycomb_number,vertex_1_x,vertex_1_y,vertex_2_x,vertex_2_y,vertex_3_x,vertex_3_y,vertex_4_x,vertex_4_y,vertex_5_x,vertex_5_y,vertex_6_x,vertex_6_y
37,32.49,21.884461953632762,34.295,25.010813661294584,37.905,25.010813661294584,39.71,21.884461953632762,37.905,18.75811024597094,34.295,18.75811024597094
38,37.905,25.010813661294584,39.71,28.13716536895641,43.32,28.13716536895641,45.125,25.010813661294584,43.32,21.884461953632762,39.71,21.884461953632762
39,43.32,21.884461953632762,45.125,25.010813661294584,48.735,25.010813661294584,50.54,21.884461953632762,48.735,18.75811024597094,45.125,18.75811024597094
40,48.735,25.010813661294584,50.54,28.13716536895641,54.15,28.13716536895641,55.955,25.010813661294584,54.15,21.884461953632762,50.54,21.884461953632762
41,0.0,28.137165368956406,1.805,31.26351707661823,5.415,31.26351707661823,7.22,28.137165368956406,5.415,25.010813661294584,1.805,25.010813661294584
42,5.415,31.26351707661823,7.220000000000001,34.389868784280054,10.83,34.389868784280054,12.635,31.26351707661823,10.83,28.137165368956406,7.220000000000001,28.137165368956406
43,10.83,28.137165368956406,12.635,31.26351707661823,16.245,31.26351707661823,18.05,28.137165368956406,16.245,25.010813661294584,12.635,25.010813661294584
44,16.245,31.26351707661823,18.05,34.389868784280054,21.66,34.389868784280054,23.465,31.26351707661823,21.66,28.137165368956406,18.05,28.137165368956406
45,21.66,28.137165368956406,23.465,31.26351707661823,27.075,31.26351707661823,28.88,28.137165368956406,27.075,25.010813661294584,23.465,25.010813661294584
46,27.075,31.26351707661823,28.88,34.389868784280054,32.49,34.389868784280054,34.295,31.26351707661823,32.49,28.137165368956406,28.88,28.137165368956406
47,32.49,28.137165368956406,34.295,31.26351707661823,37.905,31.26351707661823,39.71,28.137165368956406,37.905,25.010813661294584,34.295,25.010813661294584
48,37.905,31.26351707661823,39.71,34.389868784280054,43.32,34.389868784280054,45.125,31.26351707661823,43.32,28.137165368956406,39.71,28.137165368956406
49,43.32,28.137165368956406,45.125,31.26351707661823,48.735,31.26351707661823,50.54,28.137165368956406,48.735,25.010813661294584,45.125,25.010813661294584
50,48.735,31.26351707661823,50.54,34.389868784280054,54.15,34.389868784280054,55.955,31.26351707661823,54.15,28.137165368956406,50.54,28.137165368956406
51,0.0,34.389868784280054,1.805,37.51622049194187,5.415,37.51622049194187,7.22,34.389868784280054,5.415,31.26351707661823,1.805,31.26351707661823
52,5.415,37.51622049194188,7.220000000000001,40.6425721996037,10.83,40.6425721996037,12.635,37.51622049194188,10.83,34.389868784280054,7.220000000000001,34.389868784280054
53,10.83,34.389868784280054,12.635,37.51622049194187,16.245,37.51622049194187,18.05,34.389868784280054,16.245,31.26351707661823,12.635,31.26351707661823
54,16.245,37.51622049194188,18.05,40.6425721996037,21.66,40.6425721996037,23.465,37.51622049194188,21.66,34.389868784280054,18.05,34.389868784280054
55,21.66,34.389868784280054,23.465,37.51622049194187,27.075,37.51622049194187,28.88,34.389868784280054,27.075,31.26351707661823,23.465,31.26351707661823
56,27.075,37.51622049194188,28.88,40.6425721996037,32.49,40.6425721996037,34.295,37.51622049194188,32.49,34.389868784280054,28.88,34.389868784280054
57,32.49,34.389868784280054,34.295,37.51622049194187,37.905,37.51622049194187,39.71,34.389868784280054,37.905,31.26351707661823,34.295,31.26351707661823
58,37.905,37.51622049194188,39.71,40.6425721996037,43.32,40.6425721996037,45.125,37.51622049194188,43.32,34.389868784280054,39.71,34.389868784280054
59,43.32,34.389868784280054,45.125,37.51622049194187,48.735,37.51622049194187,50.54,34.389868784280054,48.735,31.26351707661823,45.125,31.26351707661823
60,48.735,37.51622049194188,50.54,40.6425721996037,54.15,40.6425721996037,55.955,37.51622049194188,54.15,34.389868784280054,50.54,34.389868784280054
61,0.0,40.642572199603705,1.805,43.768923907265524,5.415,43.768923907265524,7.22,40.642572199603705,5.415,37.51622049194188,1.805,37.51622049194188
62,5.415,43.76892390726553,7.220000000000001,46.89527561492735,10.83,46.89527561492735,12.635,43.76892390726553,10.83,40.642572199603705,7.220000000000001,40.642572199603705
63,10.83,40.642572199603705,12.635,43.768923907265524,16.245,43.768923907265524,18.05,40.642572199603705,16.245,37.51622049194188,12.635,37.51622049194188
64,16.245,43.76892390726553,18.05,46.89527561492735,21.66,46.89527561492735,23.465,43.76892390726553,21.66,40.642572199603705,18.05,40.642572199603705
65,21.66,40.642572199603705,23.465,43.768923907265524,27.075,43.768923907265524,28.88,40.642572199603705,27.075,37.51622049194188,23.465,37.51622049194188
66,27.075,43.76892390726553,28.88,46.89527561492735,32.49,46.89527561492735,34.295,43.76892390726553,32.49,40.642572199603705,28.88,40.642572199603705
67,32.49,40.642572199603705,34.295,43.768923907265524,37.905,43.768923907265524,39.71,40.642572199603705,37.905,37.51622049194188,34.295,37.51622049194188
68,37.905,43.76892390726553,39.71,46.89527561492735,43.32,46.89527561492735,45.125,43.76892390726553,43.32,40.642572199603705,39.71,40.642572199603705
